micro_area_atuacao,macro_area_atuacao
Hospitais,Saúde
Outros serviços de saúde,Saúde
Cultura e arte,Cultura e recreação
Esportes e recreação,Cultura e recreação
Educação infantil,Educação e pesquisa
Ensino fundamental,Educação e pesquisa
Ensino médio,Educação e pesquisa
Ensino superior,Educação e pesquisa
Estudos e pesquisas,Educação e pesquisa
Educação profissional,Educação e pesquisa
Atividades de apoio à educação,Educação e pesquisa
Outras formas de educação/ensino,Educação e pesquisa
Assistência social,Assistência social
Religião,Religião
Associações empresariais e patronais,Associações patronais e profissionais
Associações profissionais,Associações patronais e profissionais
"Associações de produtores rurais, pescadores e similares",Associações patronais e profissionais
Desenvolvimento e defesa de direitos,Desenvolvimento e defesa de direitos e interesses
Associações de atividades não especificadas anteriormente,Outras atividades associativas
Outras organizações da sociedade civil,Outras atividades associativas
