schema_receita;campos;nomes
rfb_2024;tabela_empresas_rfb;empresas
rfb_2024;tabela_estabelecimentos_rfb;estabelecimento
rfb_2024;campo_rfb_cnpj;cnpj_basico
rfb_2024;campo_rfb_natureza_juridica;natureza_juridica
rfb_2024;campo_rfb_cnae_principal;cnae_fiscal
rfb_2024;campo_rfb_razao_social;razao_social
rfb_2024;natjur_nao_lucarivo;3069|3220|3301|3999
rfb_2025;tabela_empresas_rfb;empresas
rfb_2025;tabela_estabelecimentos_rfb;estabelecimento
rfb_2025;campo_rfb_cnpj;cnpj_basico
rfb_2025;campo_rfb_natureza_juridica;natureza_juridica
rfb_2025;campo_rfb_cnae_principal;cnae_fiscal
rfb_2025;campo_rfb_razao_social;razao_social
rfb_2025;natjur_nao_lucarivo;3069|3220|3301|3999
